"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","W4Efsd 5","W4Efsd 6"
"https://www.google.com/maps/place/Arena+One+Football+Turf/data=!4m7!3m6!1s0x182f1a11c0a26059:0xf0437f023821f128!8m2!3d-1.2909565!4d36.7698887!16s%2Fg%2F11g70kl5sy!19sChIJWWCiwBEaLxgRKPEhOAJ_Q_A?authuser=0&hl=en&rclk=1","Arena One Football Turf","4.6","(342)","Sports complex","·","","Closed","· Opens 6 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerHOewpieKaBnZe2-d_PWPWK2u6bv3pfXl61bYPFLfc0GVe4kpQuI7kOA7dQn4c9NTWjaEMULZRFxdAjYI7Vcvh2v6qxVjPPDA0PsjV-znKfXsb0yHmFBJJV1cJMFM2trhcsZT_=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice pitch for a 5 aside""","","","",""
"https://www.google.com/maps/place/Golden+Palace+Casino/data=!4m7!3m6!1s0x182f1168aa9bdc81:0x72e87e990b1437d7!8m2!3d-1.298379!4d36.7877994!16s%2Fg%2F11cn94vg61!19sChIJgdybqmgRLxgR1zcUC5l-6HI?authuser=0&hl=en&rclk=1","Golden Palace Casino","4.7","(15)","Casino","·","","Closed","· Opens 8 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqvvnjTcY2B1BX6vZQcb4_evETV7Ri-NEceWTtdCZWUJ3chSdkbTadQ1U7MdFqxxBaEKzQSJ14NbdulHSxNBZcjBGhvBpa2CWfDIq5Fl8L7SGU7c9viaG6FcOfkoqJnMTRZOiu-SQ=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""very cool casino""","","","·","Eastland Hotel, Ring Rd Kilimani"
"https://www.google.com/maps/place/Responsible+Gaming+Federation+of+Kenya/data=!4m7!3m6!1s0x182f1b4c936976eb:0xa5b5341dd4c2087e!8m2!3d-1.3377803!4d36.7231763!16s%2Fg%2F11ry7sx7cq!19sChIJ63Zpk0wbLxgRfgjC1B00taU?authuser=0&hl=en&rclk=1","Responsible Gaming Federation of Kenya","5.0","(2)","Non-profit organization","·","","Open 24 hours","","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCCRW4FnKzfB6pJ1wGbpKmR0HFsapLzpm9aZsYbiT8tjEVAlNTiHqjxvUPckOHTXGvJ89YtDj06ZozJ3eUvfGlPzuUs5qG5VXkzVzEjeRx5ChQLl53rt4PxuPDqnGBYlTTHM9F=w139-h92-k-no","","","","","Watermark Business Park",""
"https://www.google.com/maps/place/Ngong+Road+Arena/data=!4m7!3m6!1s0x182f1a7194307463:0x1f0d63200c6c0d51!8m2!3d-1.3007737!4d36.7726672!16s%2Fg%2F11g9fm4br_!19sChIJY3QwlHEaLxgRUQ1sDCBjDR8?authuser=0&hl=en&rclk=1","Ngong Road Arena","4.6","(152)","Soccer field","·","","Open 24 hours","","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqHOy7xqQgwriMdng8ymd5e8NEPW9TY8UFHx8EndGTxO8U-F2qipKA4dNJk6cQq2Lv0X1dgM9wrE6a71nR44IP_XS_IPCjECW7sxWpKrg2BNnBTU0O4Shrb4AULcW4N1I9ZJAid=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent field to play football and having great time with your colleagues.""","","","·","MQXF+M3V"
"https://www.google.com/maps/place/Magic+Planet/data=!4m7!3m6!1s0x182f3d44d1c1b8af:0xefa229db75ebd5b9!8m2!3d-1.2099065!4d36.7960181!16s%2Fg%2F11hcqbt2w8!19sChIJr7jB0UQ9LxgRudXrddspou8?authuser=0&hl=en&rclk=1","Magic Planet","4.5","(181)","Amusement center","·","","Closed","· Opens 9 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqJ8PGw0fOddV8P754IA3g01aIlSxthPbfLFdRo_5qbGVA-eHSCwNgvdbpg6dmO3t1HrS9Gom33-b95Vm_abpelYlktCj6e-chwafBjDzr6O11pSXyLUJk6MkD2OvGw8W6Xaj4b=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""A scenic place with a beehive of amusement and play items.""","","","·","level -2, Two Rivers Mall"
"https://www.google.com/maps/place/Space+Gaming+Centre+%2F+Game+Masters+Kenya/data=!4m7!3m6!1s0x182f10d614de99e9:0x7448bd4eca3db85f!8m2!3d-1.2818958!4d36.8219527!16s%2Fg%2F1pzpq3tmm!19sChIJ6ZneFNYQLxgRX7g9yk69SHQ?authuser=0&hl=en&rclk=1","Space Gaming Centre / Game Masters Kenya","3.9","(18)","Game store","·","","Closed","· Opens 8:30 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepUWK-YuXLhXprum3vb6v9PbJEhfmNH4aUmmd5I2wu_oCJR1Qkm12Zu6LuW0tBTETflccHuEp-fjyimThln_U12uf95sg4_dmH4sBwtVxjOJS9ifBxgdUur3ByvO9CbgBqfoAUJ=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good","gaming","environment with enough well kept","Rahimtulla Trust Building, Moi Ave",""
"https://www.google.com/maps/place/The+Hub+Karen/data=!4m7!3m6!1s0x182f1b7adf4c4c7d:0x5d239ea583e33c7f!8m2!3d-1.320355!4d36.7041097!16s%2Fg%2F11d_d1000x!19sChIJfUxM33obLxgRfzzjg6WeI10?authuser=0&hl=en&rclk=1","The Hub Karen","4.6","(19,705)","Shopping mall","·","","Closed","· Opens 8 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAweqbiY98_5LJKFNUh7664PT-s1YoIGWo_4Q5_06HYbO-lVB7zJ9S4HomRXrU__PMXzMwo5woOOxYnLkkGwcQSgM3u1QZf1XasXOjSIT4699OLvfcZw-r0bG5T4g919ZGTOP8aQk=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""It hosts shops, supermarkets, clinics, restaurants,","gaming zone",".""","·","Dagoretti Rd"
"https://www.google.com/maps/place/Funscapes+Two+Rivers+Theme+Park/data=!4m7!3m6!1s0x182f3dc0bf5a3d87:0xce0e27082d26f3d0!8m2!3d-1.2090689!4d36.7962022!16s%2Fg%2F11fm6jx908!19sChIJhz1av8A9LxgR0PMmLQgnDs4?authuser=0&hl=en&rclk=1","Funscapes Two Rivers Theme Park","4.5","(2,174)","Amusement park","·","","Closed","· Opens 9 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwep0hU7VUOInfC8GpgPU1EWi-CtlTvlU7SthPhVf-onvtPoLPzC1CkPz4o4RP1TgM5JCNuT6WzMiBUuLA2-2Xp04EN8dF0CeY2gE6vF42Yy_H7cMK45ymytHTGb7NOC2dVKIppO6=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Has all fun","games",", indoors and outdoors and a waterpark""","·","QQQV+CR3, Limuru Road, Northern Bypass Rd"
"https://www.google.com/maps/place/Arena+5+Astroturf+-+Jamhuri+Primary/data=!4m7!3m6!1s0x182f1b2ec8484601:0x58790335fccb4a4e!8m2!3d-1.3010526!4d36.7661367!16s%2Fg%2F11n_zbqdxc!19sChIJAUZIyC4bLxgRTkrL_DUDeVg?authuser=0&hl=en&rclk=1","Arena 5 Astroturf - Jamhuri Primary","4.7","(92)","Playground","·","","","","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepLw5ObbfzXAG9fFbL5BJBR3CLxnRwLHF_t2F02YZ6D3SkigTZF541XJYPD1urnLtUy5p2a4N-YPApZKGLGKCPvg_s2KY6gczqDeSzEYELxrJU7aK5SIkuyaSkxu25ICPQEx-OGkQ=w138-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""A great place to play small sided football matches wih your buddies""","","","·","MQX8+HFC Impala Club, Ngong Rd"
"https://www.google.com/maps/place/Tric+Entertainment/data=!4m7!3m6!1s0x182f10d601ee0dd9:0xe370652e254ebdfa!8m2!3d-1.2832175!4d36.8249507!16s%2Fg%2F1ydxc54rm!19sChIJ2Q3uAdYQLxgR-r1OJS5lcOM?authuser=0&hl=en&rclk=1","Tric Entertainment","4.4","(214)","Entertainment agency","·","","Closed","· Opens 8 am","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepHYWi0zppbM1uS431TGZzBCqgdSzxGyxpvj9nkr42tH50pCU7T0KnpbRzg5fdtGFtyuMSUumrKRXtT9eW68p4hi2-i6K41khrkDRB3IsfdImY88TAxkfB8uHlUFRaIy1x21eji=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The best","gaming zone","ever""","PR8F+PX8, Commonwealth Building Moi Avenue and El Roi Plaza,, Tom Mboya St",""
